Income,Number of Dependents,Employment Status,Age,Education Level,Region,Owns Property,Bank Balance,Loan Status,Medical Expenses,Eligibility
5632,8,Self-employed,46,Graduate,Rural,Yes,131878,No Loan,49838,No
7469,6,Employed,51,Graduate,Rural,Yes,189834,Defaulted,19994,No
31740,6,Retired,29,Higher,Rural,No,138186,No Loan,23954,Yes
27900,7,Unemployed,49,Primary,Urban,No,193555,Defaulted,10396,No
48362,3,Retired,76,Higher,Suburban,Yes,85956,Paid,5655,No
13910,2,Self-employed,37,Primary,Urban,No,188051,No Loan,47182,No
9571,1,Retired,38,Higher,Suburban,No,128778,No Loan,40441,Yes
10692,5,Retired,52,None,Urban,Yes,57043,Defaulted,14178,Yes
1860,7,Unemployed,66,Primary,Rural,No,173416,No Loan,43088,Yes
21119,0,Unemployed,57,None,Rural,No,112855,Defaulted,44413,No
9529,2,Employed,70,Secondary,Urban,Yes,168964,Pending,5122,Yes
18262,0,Employed,48,Graduate,Urban,Yes,1015,Defaulted,18030,Yes
17850,2,Retired,37,Primary,Rural,No,61629,Defaulted,21833,Yes
3048,9,Unemployed,67,None,Urban,Yes,152826,Defaulted,8711,No
3612,1,Employed,68,Higher,Rural,No,9337,Pending,18777,Yes
41397,3,Unemployed,77,None,Suburban,Yes,49407,Paid,48513,Yes
12613,5,Unemployed,46,None,Urban,Yes,7657,Defaulted,3093,No
40976,1,Retired,49,Graduate,Urban,No,62292,Pending,23333,Yes
41757,6,Self-employed,21,Graduate,Urban,No,55284,Defaulted,13568,Yes
49984,6,Retired,50,Primary,Urban,No,135230,Paid,34674,Yes
44001,6,Self-employed,55,Higher,Urban,Yes,66203,Defaulted,39749,Yes
39044,5,Unemployed,40,Higher,Urban,No,23833,No Loan,39650,Yes
30926,4,Unemployed,41,Secondary,Suburban,No,124988,Paid,2353,No
28139,2,Employed,62,Secondary,Rural,Yes,173946,Paid,13261,No
46758,7,Retired,66,Higher,Suburban,Yes,166619,Defaulted,22195,Yes
13185,7,Retired,50,Higher,Rural,Yes,100497,Defaulted,38638,Yes
41774,4,Employed,20,Primary,Suburban,No,193752,Defaulted,35854,Yes
4812,9,Employed,73,Higher,Urban,Yes,66262,Pending,3342,No
